latitude,longitude,place_type,avg_safe_time,inactivity_time,suspicious_movement,status
18.890151,69.533054,Market,1.0,6.55,0,Risk
17.623215,86.470581,Market,1.0,4.4,1,Risk
33.495559,76.717314,Temple,1.5,8.37,1,Risk
15.463912,90.853548,TrekkingTrail,1.0,8.76,1,Risk
33.080432,85.877635,TrekkingTrail,1.0,4.53,0,Risk
33.31888,96.642387,Hotel,6.0,4.93,0,Safe
9.385921,85.196641,Hotel,6.0,2.59,1,Risk
33.497308,96.562092,Market,1.0,5.04,0,Risk
27.933425,84.726935,Beach,2.0,9.12,0,Risk
19.985724,75.757089,Market,1.0,1.04,0,Safe
13.206421,69.193924,Hotel,6.0,0.65,1,Risk
16.053834,68.272733,Park,2.0,3.07,1,Risk
27.645666,69.287827,Market,1.0,2.09,1,Risk
12.124086,93.688692,Temple,1.5,7.1,1,Risk
24.140112,76.478136,Park,2.0,0.86,0,Safe
21.852106,86.343151,TrekkingTrail,1.0,8.93,0,Risk
8.320027,77.24556,Market,1.0,6.09,1,Risk
33.605742,89.269206,Hotel,6.0,8.44,0,Safe
31.654117,71.179579,Temple,1.5,1.51,0,Safe
22.950435,80.197458,Museum,2.5,4.48,0,Safe
15.306573,83.461213,TrekkingTrail,1.0,9.25,1,Risk
20.858423,71.034793,Market,1.0,7.42,1,Risk
24.516806,73.191467,MovieHall,3.0,4.54,0,Safe
19.255477,96.069235,Temple,1.5,3.7,1,Risk
23.656602,68.197051,Museum,2.5,3.37,1,Risk
24.064396,94.995754,Beach,2.0,6.32,1,Risk
31.100953,87.447199,Museum,2.5,3.8,1,Risk
11.253484,73.443182,Museum,2.5,5.49,1,Risk
13.135331,71.748211,Park,2.0,7.87,1,Risk
22.066645,73.671287,MovieHall,3.0,2.97,1,Risk
24.757991,82.519869,Beach,2.0,8.32,0,Risk
34.995946,90.441323,Market,1.0,2.68,1,Risk
36.845983,91.010747,Park,2.0,0.83,0,Safe
29.473773,91.831282,MovieHall,3.0,4.9,1,Risk
34.843797,96.271259,MovieHall,3.0,7.14,1,Risk
32.100047,91.075138,Temple,1.5,1.4,1,Risk
19.723357,83.494498,Market,1.0,7.1,0,Risk
31.372759,82.175695,TrekkingTrail,1.0,8.91,0,Risk
14.885897,95.384536,Beach,2.0,5.06,1,Risk
22.727584,74.994954,MovieHall,3.0,3.54,0,Safe
11.432941,78.815686,Park,2.0,1.94,0,Safe
11.461521,75.163623,TrekkingTrail,1.0,3.83,1,Risk
29.911822,86.087059,Hotel,6.0,7.36,1,Risk
13.871639,92.208479,Hotel,6.0,0.26,0,Safe
20.243242,91.364481,Museum,2.5,0.53,1,Risk
28.624304,80.618564,TrekkingTrail,1.0,3.86,0,Risk
18.473279,81.862328,TrekkingTrail,1.0,0.58,0,Safe
27.109456,69.612601,Market,1.0,6.27,0,Risk
22.26996,93.575698,Beach,2.0,2.75,0,Safe
12.531628,68.260482,Beach,2.0,7.21,1,Risk
35.999991,69.148339,Market,1.0,0.88,0,Safe
30.296236,70.090294,Beach,2.0,3.67,0,Safe
14.634182,68.957583,Park,2.0,7.11,1,Risk
29.702866,80.337035,Temple,1.5,1.38,1,Risk
8.715217,93.36052,Market,1.0,6.68,0,Risk
19.20905,77.448789,Beach,2.0,0.97,1,Risk
31.479927,79.242374,Temple,1.5,2.73,1,Risk
22.65394,91.700837,Market,1.0,6.93,1,Risk
29.78809,88.834627,Beach,2.0,4.45,1,Risk
13.418497,80.602319,Temple,1.5,3.81,0,Risk
13.125765,93.421042,Park,2.0,4.92,0,Risk
13.763082,72.757797,Market,1.0,0.49,0,Safe
26.157887,68.402613,Park,2.0,5.2,0,Risk
18.181166,83.239199,TrekkingTrail,1.0,4.95,1,Risk
19.941541,96.154191,Beach,2.0,2.51,1,Risk
18.69964,70.51947,Market,1.0,4.02,1,Risk
30.696683,75.7336,TrekkingTrail,1.0,8.27,1,Risk
34.812166,76.748833,Park,2.0,1.45,1,Risk
22.068506,83.892291,Hotel,6.0,1.92,1,Risk
27.285143,74.182651,Temple,1.5,9.26,1,Risk
10.317267,90.189963,Market,1.0,6.71,1,Risk
14.023033,80.130698,Museum,2.5,8.15,1,Risk
29.935719,69.305004,MovieHall,3.0,5.64,1,Risk
11.603965,92.818288,Hotel,6.0,5.12,1,Risk
30.645964,95.630789,TrekkingTrail,1.0,8.19,1,Risk
29.640068,93.785579,Museum,2.5,0.8,1,Risk
10.213663,94.072603,Hotel,6.0,2.54,1,Risk
35.683972,94.973056,MovieHall,3.0,4.92,1,Risk
18.884674,87.782469,TrekkingTrail,1.0,6.58,1,Risk
27.003482,68.697562,Market,1.0,7.98,0,Risk
27.675541,77.285646,Market,1.0,5.73,0,Risk
31.798744,96.25001,Beach,2.0,8.59,0,Risk
19.34539,71.601892,Park,2.0,2.02,0,Safe
10.105132,95.079498,Temple,1.5,2.22,0,Safe
28.824168,88.320761,Market,1.0,6.58,1,Risk
32.50689,76.646316,TrekkingTrail,1.0,8.18,0,Risk
17.691775,91.735768,Market,1.0,1.12,1,Risk
30.204429,81.992732,MovieHall,3.0,6.22,0,Risk
29.378039,96.896123,Temple,1.5,7.65,1,Risk
21.47442,91.847667,MovieHall,3.0,5.42,0,Safe
22.706142,69.799074,Museum,2.5,0.44,0,Safe
32.109136,87.221619,Hotel,6.0,5.17,0,Safe
11.941595,78.957179,MovieHall,3.0,5.39,1,Risk
29.764995,73.402323,Temple,1.5,4.33,1,Risk
33.993418,80.999615,Hotel,6.0,8.77,1,Risk
25.546432,87.783047,Temple,1.5,9.56,1,Risk
28.382034,79.939329,Park,2.0,3.57,1,Risk
24.364421,80.024309,MovieHall,3.0,5.45,0,Safe
24.651798,85.107758,MovieHall,3.0,8.25,0,Risk
28.39097,75.858575,Market,1.0,8.88,0,Risk
27.284842,78.321781,TrekkingTrail,1.0,3.69,0,Risk
16.59478,95.122158,MovieHall,3.0,7.88,0,Risk
17.954654,83.888396,Museum,2.5,7.87,0,Risk
33.994255,69.728898,Museum,2.5,1.11,1,Risk
27.014273,82.349807,Park,2.0,8.69,1,Risk
32.678235,88.633884,Temple,1.5,2.04,1,Risk
33.031663,73.512024,Beach,2.0,2.89,0,Safe
22.255251,74.409973,MovieHall,3.0,9.93,0,Risk
18.41196,70.596369,Temple,1.5,5.11,0,Risk
23.864739,85.552392,Museum,2.5,9.1,0,Risk
15.238091,75.018239,Market,1.0,0.63,0,Safe
9.932672,88.859634,Temple,1.5,2.29,0,Safe
30.896236,74.513264,Museum,2.5,7.24,1,Risk
22.520609,68.105717,Temple,1.5,1.55,1,Risk
35.111243,96.440071,TrekkingTrail,1.0,4.01,1,Risk
36.899907,75.241958,Temple,1.5,3.3,0,Risk
32.88859,94.53545,Market,1.0,7.99,0,Risk
14.308151,73.336069,TrekkingTrail,1.0,0.9,0,Safe
21.100682,96.613524,Hotel,6.0,5.92,0,Safe
18.375722,91.944922,TrekkingTrail,1.0,8.47,1,Risk
19.481381,72.086304,MovieHall,3.0,8.48,0,Risk
16.543494,73.266387,Hotel,6.0,4.21,0,Safe
35.430649,73.771805,Temple,1.5,2.74,0,Safe
28.35862,91.472639,Market,1.0,7.99,1,Risk
31.913994,87.446188,TrekkingTrail,1.0,9.99,1,Risk
27.957977,81.334569,TrekkingTrail,1.0,0.68,0,Safe
19.777107,84.892744,Beach,2.0,6.66,1,Risk
17.693046,84.046982,Museum,2.5,4.07,0,Safe
16.39355,74.809937,TrekkingTrail,1.0,8.38,0,Risk
23.663323,78.494323,Hotel,6.0,7.52,0,Safe
23.125352,82.544689,Park,2.0,8.88,1,Risk
16.218151,86.98226,Market,1.0,6.17,1,Risk
20.504391,95.646896,Hotel,6.0,3.65,1,Risk
33.388619,80.376201,Market,1.0,2.37,1,Risk
10.772234,83.924375,Beach,2.0,0.84,0,Safe
8.380948,79.023007,MovieHall,3.0,2.67,1,Risk
28.806344,73.488621,Hotel,6.0,5.9,1,Risk
20.462979,79.92837,Hotel,6.0,1.63,1,Risk
10.377805,68.360206,Temple,1.5,3.44,1,Risk
21.821718,92.746188,Beach,2.0,4.56,1,Risk
24.414789,91.924501,Temple,1.5,0.97,0,Safe
20.840787,91.948909,Park,2.0,1.42,1,Risk
13.144953,93.759229,Hotel,6.0,8.06,0,Safe
30.945517,92.14686,MovieHall,3.0,6.19,0,Risk
27.574323,81.600347,Market,1.0,9.59,1,Risk
10.746891,76.374301,Park,2.0,9.81,0,Risk
34.611483,73.322061,Hotel,6.0,3.24,1,Risk
34.089212,91.432708,Market,1.0,7.51,1,Risk
34.295446,91.881274,Market,1.0,7.02,1,Risk
28.490818,70.036607,TrekkingTrail,1.0,6.64,0,Risk
20.958232,87.176301,Hotel,6.0,0.83,1,Risk
13.085113,96.422408,Temple,1.5,1.08,1,Risk
34.759022,85.142591,Park,2.0,7.82,0,Risk
27.378011,77.951676,Beach,2.0,8.9,1,Risk
35.106349,73.227032,Hotel,6.0,0.5,1,Risk
21.413854,91.061905,Temple,1.5,4.39,1,Risk
34.421074,86.801095,Beach,2.0,0.65,1,Risk
31.982986,93.805207,Museum,2.5,6.88,0,Risk
10.372564,83.822651,Market,1.0,6.55,1,Risk
10.630424,92.140907,Museum,2.5,8.95,0,Risk
21.963154,86.634318,TrekkingTrail,1.0,4.28,0,Risk
10.782617,86.790415,Beach,2.0,7.25,0,Risk
9.404289,71.322469,Beach,2.0,2.33,1,Risk
18.596914,81.936893,Beach,2.0,0.7,1,Risk
11.335066,76.254104,Temple,1.5,1.76,1,Risk
27.322757,87.914608,Market,1.0,8.29,1,Risk
16.669272,94.040331,MovieHall,3.0,4.56,0,Safe
36.367546,71.536094,TrekkingTrail,1.0,9.75,0,Risk
26.125258,90.212558,Market,1.0,9.82,0,Risk
14.984803,89.651295,Beach,2.0,1.83,0,Safe
15.73293,95.509796,Beach,2.0,8.12,0,Risk
22.176861,96.372733,Museum,2.5,8.61,0,Risk
36.679646,88.979101,Park,2.0,1.0,1,Risk
32.323168,89.847475,Park,2.0,0.33,0,Safe
10.273152,72.189593,Museum,2.5,8.15,0,Risk
28.057558,75.365804,Beach,2.0,1.5,0,Safe
16.03313,93.113747,MovieHall,3.0,1.98,0,Safe
15.690995,82.377829,Market,1.0,3.57,1,Risk
13.856226,69.928072,Temple,1.5,9.68,0,Risk
22.158656,75.563208,Beach,2.0,9.43,1,Risk
25.812835,72.696735,MovieHall,3.0,5.99,1,Risk
27.387987,80.051714,Museum,2.5,1.22,1,Risk
18.480072,85.822755,Park,2.0,0.69,1,Risk
29.202558,95.780815,Temple,1.5,7.28,1,Risk
36.175143,73.779557,Beach,2.0,1.59,0,Safe
25.185748,76.722506,Beach,2.0,5.64,0,Risk
10.729493,87.262264,Park,2.0,5.51,1,Risk
24.343653,89.903301,Park,2.0,8.85,1,Risk
9.921499,77.430807,Beach,2.0,4.41,0,Risk
19.888739,79.95218,Park,2.0,6.77,1,Risk
15.659204,86.602244,Museum,2.5,9.87,0,Risk
12.728907,71.207586,TrekkingTrail,1.0,3.78,0,Risk
33.565491,87.276154,TrekkingTrail,1.0,0.23,1,Risk
21.063836,75.905689,Museum,2.5,5.97,0,Risk
29.036307,88.109689,Museum,2.5,9.74,0,Risk
35.076888,71.665928,Temple,1.5,6.21,1,Risk
12.399741,96.214673,Market,1.0,6.4,1,Risk
13.790138,79.070256,Hotel,6.0,9.01,0,Safe
21.85739,68.227103,MovieHall,3.0,5.62,0,Safe
13.694262,68.821492,Museum,2.5,4.18,0,Safe
35.509088,81.127101,Museum,2.5,6.89,1,Risk
22.575105,95.841005,TrekkingTrail,1.0,7.62,0,Risk
19.558757,86.470937,Market,1.0,9.58,0,Risk
11.622977,84.573822,MovieHall,3.0,2.79,0,Safe
16.13213,92.24648,Hotel,6.0,7.55,0,Safe
8.784416,84.392419,Market,1.0,1.3,0,Safe
26.119303,86.143587,Hotel,6.0,7.91,0,Safe
24.131858,79.404097,MovieHall,3.0,9.5,0,Risk
15.121693,73.489846,MovieHall,3.0,3.12,0,Safe
16.009102,75.823811,Market,1.0,7.26,0,Risk
24.916502,85.627939,Hotel,6.0,9.63,1,Risk
35.100492,76.882193,Park,2.0,0.4,0,Safe
10.084028,70.318956,Park,2.0,3.21,1,Risk
27.826652,83.640654,Beach,2.0,6.1,1,Risk
10.141192,79.052344,Museum,2.5,8.07,1,Risk
33.841139,75.332569,Hotel,6.0,3.26,1,Risk
27.028719,68.750948,Temple,1.5,7.99,1,Risk
22.113906,73.764093,Temple,1.5,9.49,1,Risk
21.090985,77.821321,Museum,2.5,4.83,1,Risk
17.995513,90.373269,Hotel,6.0,4.65,1,Risk
29.808899,86.944116,Beach,2.0,0.88,0,Safe
32.563133,93.827673,Hotel,6.0,4.69,0,Safe
35.783995,96.666467,Market,1.0,5.71,0,Risk
29.964666,86.778639,Museum,2.5,7.88,0,Risk
20.954116,70.875073,Museum,2.5,5.12,0,Risk
11.534716,72.86697,MovieHall,3.0,4.27,1,Risk
34.220121,70.802843,Park,2.0,5.97,0,Risk
10.502383,76.63926,Hotel,6.0,2.77,1,Risk
31.75822,81.384709,Hotel,6.0,8.53,0,Safe
27.298163,81.554676,Park,2.0,6.74,0,Risk
32.188946,94.611337,Market,1.0,8.82,1,Risk
14.84818,89.017231,Hotel,6.0,1.64,1,Risk
32.764633,86.215846,Museum,2.5,3.4,1,Risk
20.083927,96.476188,Beach,2.0,1.03,0,Safe
24.69866,90.280413,Temple,1.5,7.05,1,Risk
15.908965,75.132397,Museum,2.5,4.01,0,Safe
28.222221,91.058432,TrekkingTrail,1.0,6.53,0,Risk
31.158278,73.500451,TrekkingTrail,1.0,9.13,1,Risk
17.093246,71.901778,Park,2.0,7.79,1,Risk
26.814633,95.992751,Hotel,6.0,6.18,0,Safe
19.915069,75.251759,Market,1.0,4.59,0,Risk
24.52888,71.516643,MovieHall,3.0,1.08,1,Risk
17.902113,71.043472,Beach,2.0,1.42,0,Safe
19.392136,77.276618,MovieHall,3.0,6.92,0,Risk
15.042537,77.221444,Market,1.0,9.38,1,Risk
27.815892,72.139924,MovieHall,3.0,7.11,0,Risk
14.279001,96.826425,Beach,2.0,4.59,1,Risk
30.594344,80.805681,Hotel,6.0,7.23,1,Risk
22.74127,86.520991,Market,1.0,0.45,1,Risk
8.088941,75.286985,Museum,2.5,4.18,0,Safe
10.826116,84.89428,Market,1.0,4.1,1,Risk
10.136013,75.754698,Park,2.0,4.87,0,Risk
19.915858,83.899349,Market,1.0,0.44,0,Safe
8.177153,92.505543,MovieHall,3.0,8.74,0,Risk
24.223404,89.591646,Hotel,6.0,8.82,0,Safe
35.16452,75.177152,Museum,2.5,6.71,1,Risk
29.11845,86.451658,TrekkingTrail,1.0,6.44,1,Risk
19.66039,96.578923,Beach,2.0,8.01,0,Risk
19.778117,90.75806,Temple,1.5,3.96,0,Risk
15.72108,76.582586,TrekkingTrail,1.0,8.88,0,Risk
27.907634,95.333838,MovieHall,3.0,6.92,0,Risk
16.074331,96.527318,Beach,2.0,3.57,0,Safe
24.496545,86.913534,Museum,2.5,2.38,0,Safe
8.429573,77.207035,Hotel,6.0,1.71,1,Risk
27.764965,70.387556,Beach,2.0,6.28,1,Risk
31.113844,79.223083,Temple,1.5,5.5,1,Risk
32.047126,94.44464,Hotel,6.0,4.78,1,Risk
19.519966,71.131127,Museum,2.5,3.52,1,Risk
11.057841,79.484195,Temple,1.5,4.31,0,Risk
28.508724,83.39387,Beach,2.0,9.77,0,Risk
34.002584,77.399553,Hotel,6.0,0.8,1,Risk
31.561388,82.574078,Park,2.0,8.43,1,Risk
32.654762,89.52805,MovieHall,3.0,0.51,0,Safe
25.328661,87.890767,TrekkingTrail,1.0,9.36,0,Risk
14.995389,87.089969,Temple,1.5,7.33,1,Risk
14.198417,71.320573,Market,1.0,8.56,0,Risk
33.010186,94.757503,Beach,2.0,6.05,1,Risk
35.411159,82.7538,Park,2.0,2.08,1,Risk
10.548036,81.624741,Museum,2.5,4.36,0,Safe
26.751437,92.312752,MovieHall,3.0,4.41,0,Safe
27.46356,72.815138,Museum,2.5,0.84,1,Risk
14.686297,88.65122,Park,2.0,3.52,0,Safe
17.875593,90.923221,Beach,2.0,0.64,1,Risk
22.170481,70.531057,MovieHall,3.0,4.6,0,Safe
9.949072,82.948803,Hotel,6.0,6.52,1,Risk
19.645868,76.787378,TrekkingTrail,1.0,6.79,1,Risk
23.304697,90.691952,TrekkingTrail,1.0,6.7,0,Risk
21.070672,69.707325,MovieHall,3.0,7.1,0,Risk
14.471931,82.860033,TrekkingTrail,1.0,6.94,1,Risk
12.041273,68.21718,TrekkingTrail,1.0,5.15,0,Risk
25.4344,96.123721,TrekkingTrail,1.0,6.92,1,Risk
30.212813,90.611644,Park,2.0,7.8,0,Risk
14.843342,78.896858,Museum,2.5,2.19,0,Safe
33.226543,74.91893,TrekkingTrail,1.0,4.33,0,Risk
27.459484,75.982432,Beach,2.0,6.35,1,Risk
31.777379,80.988649,Park,2.0,5.63,0,Risk
29.760267,82.58213,Park,2.0,3.65,1,Risk
25.128866,79.043975,Temple,1.5,3.77,0,Risk
31.724678,80.471233,Beach,2.0,7.68,1,Risk
15.136025,76.306963,MovieHall,3.0,4.28,1,Risk
13.869276,87.231476,Park,2.0,1.17,1,Risk
30.90695,69.831892,Park,2.0,2.06,0,Safe
19.32444,82.657091,Market,1.0,0.28,0,Safe
10.187779,83.061043,MovieHall,3.0,0.47,1,Risk
30.276096,80.094014,Beach,2.0,6.62,0,Risk
30.463782,76.550113,Park,2.0,4.45,1,Risk
29.948377,79.188834,TrekkingTrail,1.0,3.76,0,Risk
17.423773,81.055875,TrekkingTrail,1.0,2.0,0,Safe
22.59556,79.889114,Park,2.0,1.77,0,Safe
34.057937,82.539711,Beach,2.0,6.69,0,Risk
26.019726,76.529743,Park,2.0,9.68,0,Risk
10.742784,76.053842,Market,1.0,2.39,0,Risk
26.445237,88.810581,MovieHall,3.0,1.97,0,Safe
22.6361,79.375877,Market,1.0,7.74,0,Risk
11.952095,85.251373,Hotel,6.0,2.47,0,Safe
19.75784,68.92094,Park,2.0,3.85,1,Risk
8.036773,70.915559,TrekkingTrail,1.0,6.86,0,Risk
13.75037,73.204604,Park,2.0,7.62,0,Risk
15.608466,93.648239,Temple,1.5,0.28,1,Risk
32.920583,85.691065,TrekkingTrail,1.0,7.14,1,Risk
26.17934,83.266496,Beach,2.0,7.57,0,Risk
34.00545,93.520878,TrekkingTrail,1.0,9.13,0,Risk
22.009543,92.632617,TrekkingTrail,1.0,6.69,1,Risk
19.188715,92.357143,MovieHall,3.0,7.87,1,Risk
13.714377,76.442952,MovieHall,3.0,6.93,0,Risk
10.716708,80.829252,MovieHall,3.0,2.24,1,Risk
19.335104,83.779914,Park,2.0,8.72,1,Risk
26.875487,89.914893,Temple,1.5,3.38,1,Risk
34.543245,70.693365,Hotel,6.0,6.82,1,Risk
8.321958,89.124981,Hotel,6.0,9.12,1,Risk
27.439965,68.021489,Market,1.0,1.42,1,Risk
35.626335,71.63661,MovieHall,3.0,3.4,1,Risk
20.760415,71.454149,Temple,1.5,7.37,0,Risk
25.48149,93.440996,Museum,2.5,7.02,1,Risk
16.682887,74.899849,Market,1.0,4.59,0,Risk
25.740612,68.440647,MovieHall,3.0,0.43,0,Safe
35.018216,76.847586,Museum,2.5,3.98,0,Safe
27.157603,96.85147,TrekkingTrail,1.0,2.23,0,Risk
28.425812,72.587522,MovieHall,3.0,9.75,1,Risk
16.841223,89.434243,MovieHall,3.0,1.57,0,Safe
36.286159,93.76164,MovieHall,3.0,9.29,0,Risk
23.298175,87.076999,Temple,1.5,5.27,0,Risk
34.98648,92.80683,TrekkingTrail,1.0,3.04,1,Risk
19.369739,69.756616,Market,1.0,6.31,0,Risk
28.052569,90.704222,Museum,2.5,7.13,0,Risk
30.440682,75.360621,Hotel,6.0,9.28,1,Risk
35.617971,83.322184,Park,2.0,3.17,1,Risk
27.688506,86.481184,Market,1.0,0.55,0,Safe
35.46643,92.255429,MovieHall,3.0,3.19,0,Safe
14.256305,80.930011,Market,1.0,3.37,0,Risk
15.150811,71.793169,Beach,2.0,2.82,0,Safe
20.493748,69.63084,Beach,2.0,2.41,0,Safe
24.70507,90.688637,Temple,1.5,1.16,1,Risk
27.548466,88.621814,Hotel,6.0,4.36,1,Risk
22.466043,96.037524,Museum,2.5,9.89,1,Risk
31.004639,71.053042,Market,1.0,6.41,0,Risk
35.16846,76.65837,Beach,2.0,8.35,1,Risk
10.741716,78.839643,Park,2.0,7.97,0,Risk
9.974163,91.30423,Temple,1.5,1.83,0,Safe
34.353124,82.918752,TrekkingTrail,1.0,0.27,1,Risk
20.582402,90.25312,Beach,2.0,6.02,0,Risk
11.214827,82.001662,TrekkingTrail,1.0,6.21,0,Risk
20.890124,68.719572,Beach,2.0,1.74,1,Risk
30.644873,78.074533,Park,2.0,8.69,0,Risk
17.90268,82.691196,Hotel,6.0,3.36,1,Risk
23.002851,87.674886,Park,2.0,2.98,0,Safe
10.690851,78.925369,MovieHall,3.0,3.2,1,Risk
8.441301,75.151933,Park,2.0,5.56,0,Risk
19.923883,92.1103,Hotel,6.0,3.85,0,Safe
21.650823,88.215183,Beach,2.0,5.06,1,Risk
34.516371,92.293404,Museum,2.5,6.27,1,Risk
19.750444,95.918814,Market,1.0,5.97,0,Risk
34.380897,87.642045,Museum,2.5,4.57,1,Risk
26.720231,83.969829,Hotel,6.0,8.95,1,Risk
15.598994,89.697009,Hotel,6.0,3.77,0,Safe
26.17127,87.439306,Museum,2.5,3.25,1,Risk
25.194011,89.756587,Museum,2.5,1.26,1,Risk
10.082799,71.949291,Beach,2.0,7.51,1,Risk
14.169933,81.468939,MovieHall,3.0,4.52,0,Safe
30.256514,75.217195,TrekkingTrail,1.0,0.25,1,Risk
17.443429,71.83972,Museum,2.5,5.48,1,Risk
12.241333,68.620848,Beach,2.0,1.58,1,Risk
25.040652,96.754583,Park,2.0,4.03,1,Risk
17.573304,77.386809,MovieHall,3.0,5.67,0,Safe
15.914486,78.38135,Hotel,6.0,0.21,0,Safe
10.517054,79.152909,TrekkingTrail,1.0,5.6,0,Risk
16.202595,71.528422,Museum,2.5,9.03,0,Risk
26.579398,76.059901,Hotel,6.0,6.36,0,Safe
34.150037,79.096495,TrekkingTrail,1.0,2.02,0,Risk
10.496744,72.880549,Market,1.0,3.57,0,Risk
11.961178,68.478722,Museum,2.5,3.98,0,Safe
10.392194,79.35888,TrekkingTrail,1.0,8.52,1,Risk
30.487044,96.232751,Museum,2.5,5.25,1,Risk
11.440337,90.466313,Market,1.0,0.49,1,Risk
17.164975,84.436099,Museum,2.5,6.88,1,Risk
19.609157,86.650281,TrekkingTrail,1.0,3.31,1,Risk
9.861067,75.5477,MovieHall,3.0,5.62,1,Risk
31.755531,73.728547,Beach,2.0,5.43,1,Risk
31.898074,90.642557,TrekkingTrail,1.0,5.87,0,Risk
12.713021,82.267078,Park,2.0,6.63,1,Risk
35.828492,80.08455,Hotel,6.0,9.68,1,Risk
27.454335,88.796847,Museum,2.5,4.38,0,Safe
14.731816,87.125977,Beach,2.0,4.7,0,Risk
30.129975,94.038957,TrekkingTrail,1.0,3.55,0,Risk
27.995162,78.605808,Temple,1.5,0.69,0,Safe
